dataset,ablation,method,metric,value
120k,semantic,Ensemble,specificity,0.93015
120k,semantic,ZKP Framework,sensitivity,0.8872988473745754
120k,semantic,Regex Baseline,sensitivity,0.8822688716892181
120k,semantic,LLM Simulator,sensitivity,0.6115782244742655
120k,semantic,Ensemble,sensitivity,0.94049408838651
120k,semantic,ZKP Framework,avg_detection_time,9.039493965351189e-05
120k,semantic,Regex Baseline,avg_detection_time,6.0211581343530535e-05
120k,semantic,LLM Simulator,avg_detection_time,5.7053974031385574e-05
120k,semantic,Ensemble,avg_detection_time,0.00023299648834252366
120k,regex,ZKP Framework,precision,0.9193976459727672
120k,regex,Regex Baseline,precision,0.0
120k,regex,LLM Simulator,precision,1.0
120k,regex,Ensemble,precision,0.919442575684767
120k,regex,ZKP Framework,recall,0.8872988473745754
120k,regex,Regex Baseline,recall,0.0
120k,regex,LLM Simulator,recall,0.6107986710470145
120k,regex,Ensemble,recall,0.8878371104552963
120k,regex,ZKP Framework,f1,0.9030631039075118
120k,regex,Regex Baseline,f1,0.0
120k,regex,LLM Simulator,f1,0.7583799043613528
120k,regex,Ensemble,f1,0.9033634869974128
120k,regex,ZKP Framework,accuracy,0.9098764456387155
120k,regex,Regex Baseline,accuracy,0.526884269870123
120k,regex,LLM Simulator,accuracy,0.8158627290848899
120k,regex,Ensemble,accuracy,0.9101311063691527
120k,regex,ZKP Framework,specificity,0.93015
120k,regex,Regex Baseline,specificity,1.0
120k,regex,LLM Simulator,specificity,1.0
120k,regex,Ensemble,specificity,0.93015
120k,regex,ZKP Framework,sensitivity,0.8872988473745754
120k,regex,Regex Baseline,sensitivity,0.0
120k,regex,LLM Simulator,sensitivity,0.6107986710470145
120k,regex,Ensemble,sensitivity,0.8878371104552963
120k,regex,ZKP Framework,avg_detection_time,8.979406420207245e-05
120k,regex,Regex Baseline,avg_detection_time,6.15470285470168e-08
120k,regex,LLM Simulator,avg_detection_time,6.829105199890236e-05
120k,regex,Ensemble,avg_detection_time,0.0001818069179401622
120k,zkp,ZKP Framework,precision,0.9117758504546986
120k,zkp,Regex Baseline,precision,0.9189753504108265
120k,zkp,LLM Simulator,precision,1.0
120k,zkp,Ensemble,precision,0.9235957923905712
120k,zkp,ZKP Framework,recall,0.8039237522504965
120k,zkp,Regex Baseline,recall,0.8822688716892181
120k,zkp,LLM Simulator,recall,0.6110028398017707
120k,zkp,Ensemble,recall,0.9403270412235276
120k,zkp,ZKP Framework,f1,0.8544599086613862
120k,zkp,Regex Baseline,f1,0.9002481013617166
